"X","country","village","long","lat","n","y"
6059,"TANZANIA","Lilondo",35.32579,-9.8296,40,37.2
6060,"TANZANIA","Wilima",34.886879,-9.789239,40,37.2
6061,"TANZANIA","Ifinga",35.52489,-9.53363,40,32.4
6062,"TANZANIA","Kitanda",35.89593,-10.06727,40,38.8
6063,"TANZANIA","Naikesi",35.88235,-10.24215,40,36
6064,"TANZANIA","Msindo",35.76923,-10.5157,40,27.2
6065,"TANZANIA","Namabengo",35.85973,-10.55157,40,9.2
6066,"TANZANIA","Mawa",35.76923,-10.47982,40,27.2
6067,"TANZANIA","Mpandangi",35.62443,-10.54709,40,31.6
6068,"TANZANIA","Ngadinda",35.66516,-10.21525,40,37.2
6069,"TANZANIA","Mtyangimb",35.67873,-10.38565,40,18
6070,"TANZANIA","Libango",36.04072,-10.43049,40,10
6071,"TANZANIA","Luegu",35.54751,-10.5157,40,26.8
6072,"TANZANIA","Mtumbatim",36.10407,-10.29148,40,24
6073,"TANZANIA","Mkongo Gu",36.04525,-10.67713,40,26.8
6074,"TANZANIA","Chengena",36.08145,-10.59641,40,26.8
6075,"TANZANIA","Ligera",36.09955,-10.91928,40,26.4
6076,"TANZANIA","Mtelawamw",36.14027,-10.89238,40,26.8
6077,"TANZANIA","Matimira",35.80543,-10.69507,40,28.8
6078,"TANZANIA","Kikunja",35.73756,-10.82511,40,34.4
6079,"TANZANIA","Mpitimbi",35.53846,-10.80718,40,10
6080,"TANZANIA","Namatuhi",35.49321,-10.91928,40,28
6081,"TANZANIA","Muhukuru",35.44344,-11.21076,40,20.4
6082,"TANZANIA","Nakahegwa",35.32579,-10.78475,40,25.2
6083,"TANZANIA","Mlale JKT",35.29864,-10.81166,40,25.2
6084,"TANZANIA","Chandalua",34.98799,-11.0134,40,24.8
6085,"TANZANIA","Mtunduwal",34.92699,-10.48105,40,26.8
6086,"TANZANIA","Litumband",35.07486,-10.51987,40,33.2
6087,"TANZANIA","Luhagara",35.06007,-10.55314,40,29.2
6088,"TANZANIA","Amani Mak",35.15619,-10.69917,40,24.8
6089,"TANZANIA","Mpepai",35.18022,-11.14464,40,34.4
6090,"TANZANIA","Liparamba",35.23198,-11.4293,40,28
6091,"TANZANIA","Lundo",34.73475,-11.21858,40,17.2
6092,"TANZANIA","Ukata-Lun",34.7976,-10.86922,40,8
6093,"TANZANIA","Mango",34.6719,-11.03558,40,28.8
6094,"TANZANIA","Ndongosi",35.59729,-10.97758,40,26.8
6095,"TANZANIA","Masolo",30.71978,-7.46962,50,0
6096,"TANZANIA","Ching'omb",31.05441,-8.12311,50,0
6097,"TANZANIA","Kizumbi",31.83995,-7.90731,31,0
6098,"TANZANIA","Kipanga",31.05364,-8.3139,50,0
6099,"TANZANIA","Kaposwa",31.24084,-8.58795,30,0
6100,"TANZANIA","Kyanda",31.75976,-8.29295,35,0
6101,"TANZANIA","Mombo",31.95055,-8.76792,48,0
6102,"TANZANIA","Uvinza",30.40228,-5.10777,23,0
6103,"TANZANIA","Mahembe",29.74179,-4.80248,33,1
6104,"TANZANIA","Nkongoro",29.71412,-4.69013,43,3
6105,"TANZANIA","Kalinzi",29.74081,-4.61296,50,0
6106,"TANZANIA","Janda",29.87263,-4.62343,40,0
6107,"TANZANIA","Makere",30.42571,-4.28002,50,0
6108,"TANZANIA","Kanyonza",31.00253,-3.24439,30,0
6109,"TANZANIA","Ukami/Kis",35.733333,-8.5,58,4
6110,"TANZANIA","Chogo",35.7469,-8.51469,50,2
6111,"TANZANIA","Ndiwili",35.79505,-7.90881,30,0
6112,"TANZANIA","Mahenge",36.22662,-7.63216,31,0
6113,"TANZANIA","Msongozi",37.34102,-7.06775,36,1
6114,"TANZANIA","Changa",37.7853,-6.97289,59,3
6115,"TANZANIA","Mtombozi",37.78254,-7.10375,27,0
6116,"TANZANIA","Tawa",37.72962,-7.01663,36,2
6117,"TANZANIA","Magogoni",37.98641,-7.22925,37,2
6118,"TANZANIA","Kolero",37.77671,-7.2333,33,8
6119,"TANZANIA","Bwakira C",37.73662,-7.40698,32,13
6120,"TANZANIA","Ngazi",37.67388,-7.42388,42,6
6121,"TANZANIA","Bwakira J",37.69447,-7.29997,30,9
6122,"TANZANIA","Baghai",35.35038,-4.88347,47,4
6123,"TANZANIA","Bumbuli",38.46806,-4.86442,46,6
6124,"TANZANIA","Kwendogho",38.13839,-4.33779,33,4
6125,"TANZANIA","Mkalie",38.49946,-4.95057,41,10
6126,"TANZANIA","Ubiri",38.5721,-5.10712,34,21
6127,"TANZANIA","Maurui",38.38821,-5.13824,34,13
6128,"TANZANIA","Mswaha",38.3175,-5.15207,60,2
6129,"TANZANIA","Muungano-",37.70414,-5.48125,34,5
6130,"TANZANIA","Tamato",37.55077,-5.59079,36,6
6131,"TANZANIA","Kim-Neger",37.80179,-5.81284,36,7
6132,"TANZANIA","Magoroto",38.74163,-5.11035,56,9
6133,"TANZANIA","Fanusi",38.67708,-5.11554,66,18
6134,"TANZANIA","Ngambo",38.61923,-5.04294,36,3
6135,"TANZANIA","Ngua",38.58739,-5.14358,41,5
6136,"TANZANIA","Potwe-Ndo",38.61679,-5.20267,32,18
6137,"TANZANIA","Ikondo",35.23768,-9.08108,32,6
6138,"TANZANIA","Mgala",35.22369,-9.52905,47,8
6139,"TANZANIA","Itambo",35.34671,-9.39509,51,2
6140,"TANZANIA","Ukalawa",35.2882,-9.1612,40,3
6141,"TANZANIA","Ikang'asi",35.34907,-9.34887,48,2
6142,"TANZANIA","Myaye",35.29343,-9.13524,57,16
6143,"TANZANIA","Magonguli",35.18821,-8.74306,32,0
6144,"TANZANIA","Mpanga-Tz",35.6567,-8.34998,43,5
6145,"TANZANIA","Lugolofu",35.30746,-8.69214,35,0
6146,"TANZANIA","Makungu",35.28817,-8.73718,31,0
6147,"TANZANIA","Igomaa",34.94417,-8.22467,94,0
6148,"TANZANIA","Kilondo",34.31002,-9.73962,30,18
6149,"TANZANIA","Lumbila",34.14669,-9.58846,30,16
6150,"TANZANIA","Lupingu",34.56267,-10.09455,30,14
6151,"TANZANIA","Kilimani",35.00828,-10.9865,51,12
6152,"TANZANIA","Lupumba K",35.01525,-10.84325,49,15
6153,"TANZANIA","Lukarasi-",34.99566,-10.7753,38,11
6154,"TANZANIA","Mkako",35.13672,-10.75206,52,17
6155,"TANZANIA","Mipotopot",35.24083,-11.46896,30,12
6156,"TANZANIA","Ndubi/Liw",34.64953,-10.64071,31,12
6157,"TANZANIA","Litoho",34.7779,-10.83749,31,10
6158,"TANZANIA","Tingi",35.05744,-11.3379,40,15
6159,"TANZANIA","Nangombo-",34.86447,-11.31862,58,20
6160,"TANZANIA","Makwambe",37.12124,-6.4744,32,11
6161,"TANZANIA","Kisangata",37.16397,-6.61405,31,7
6162,"TANZANIA","Dodoma-Is",36.91398,-6.90815,51,5
6163,"TANZANIA","Mnaga",36.87378,-7.0836,48,4
6164,"TANZANIA","Mikumi-Mo",36.98852,-7.42671,30,4
6165,"TANZANIA","Masimba",37.55288,-5.93387,23,1
6166,"TANZANIA","Ngai Sala",37.43553,-5.92604,39,3
6167,"TANZANIA","Ndole",37.39046,-6.15802,35,1
6168,"TANZANIA","Kwankoje",37.80596,-5.90304,30,7
6169,"TANZANIA","Kwezikwij",37.57093,-6.10203,43,1
6170,"TANZANIA","Kwadoli",37.63531,-6.05539,34,4
6171,"TANZANIA","Njeura",37.84603,-5.97077,30,4
6172,"TANZANIA","Matale",37.33084,-6.19784,34,4
6173,"TANZANIA","Ketaketa",36.74429,-9.05023,40,12
6174,"TANZANIA","Luhombero",36.85845,-9,40,10
6175,"TANZANIA","Nkonko",36.83167,-8.97459,40,4
6176,"TANZANIA","Mhuga",36.85889,-8.972319,40,10
6177,"TANZANIA","Gombe",36.80218,-8.86116,40,28
6178,"TANZANIA","Lukande",36.8294,-8.80218,40,20
6179,"TANZANIA","Mwaya",36.89041,-8.89498,40,8
6180,"TANZANIA","Ebuyu",36.75907,-8.97232,40,22
6181,"TANZANIA","Chilombol",36.77625,-8.91324,40,32
6182,"TANZANIA","Kituli",36.67737,-8.83848,40,26
6183,"TANZANIA","Mgalo",36.94737,-8.91334,40,32
6184,"TANZANIA","Isyaga",36.71325,-8.94964,40,38
6185,"TANZANIA","Uponera",36.68603,-8.72913,40,32
6186,"TANZANIA","Msogezi",36.63839,-8.62477,40,34
6187,"TANZANIA","Chikuti",36.7314,-8.5999,40,26
6188,"TANZANIA","Isongo",36.71325,-8.72459,40,34
6189,"TANZANIA","Idunda",36.7032,-8.46119,40,28
6190,"TANZANIA","Lupiro",36.6895,-8.35616,40,26
6191,"TANZANIA","Iragua",36.52042,-8.53403,40,22
6192,"TANZANIA","Madibira",36.26588,-8.86343,40,2
6193,"TANZANIA","Kalengake",36.3089,-8.81125,40,10
6194,"TANZANIA","Mbangala",36.733333,-8.599999,40,32
6195,"TANZANIA","LIGOMA",37.71,-10.82,40,16
6196,"TANZANIA","MISECHELA",37.54,-10.79,40,18.8
6197,"TANZANIA","NAMPUNGU",37.05,-10.92,40,16
6198,"TANZANIA","KIDODOMA",37.18,-10.94,40,16
6199,"TANZANIA","MACHEMBA",37.33,-10.76,40,13.2
6200,"TANZANIA","MAKANDE",37.39,-11.7,40,24
6201,"TANZANIA","CHIWANA",37.22,-10.69,40,10.8
6202,"TANZANIA","Lugala",36.17352,-8.89498,40,2
6203,"TANZANIA","Taweta",35.63927,-8.9863,40,12
6204,"TANZANIA","Tanganyik",35.649999,-9.116666,40,12
6205,"TANZANIA","Utengule",35.833333,-8.949999,40,8
6206,"TANZANIA","Mpanga",35.87671,-8.44749,40,18
6207,"TANZANIA","Chita",35.94977,-8.46575,40,8
6208,"TANZANIA","Mchombe",36.16895,-8.27854,40,8
6209,"TANZANIA","Mngeta",36.14612,-8.28767,40,16
6210,"TANZANIA","Mbingu",36.27854,-8.15069,40,12
6211,"TANZANIA","Kisawasaw",36.88585,-7.86301,40,12
6212,"TANZANIA","Sanje",36.92237,-7.73059,40,10
6213,"TANZANIA","Mlimba",35.816666,-8.8,40,18
