"X","country","village","long","lat","n","y"
2398,"CAMEROUN","Kolere",13.116669,8.96667,34,0
2399,"CAMEROUN","Guerete",13.203056,9.513333,47,1
2400,"CAMEROUN","KouKomi",13.388333,9.310833,35,1
2401,"CAMEROUN","Koulawa",12.968333,9.410556,38,0
2402,"CAMEROUN","Lougoude",13.199167,9.124722,42,1
2403,"CAMEROUN","Beka",12.925278,9.068611,36,12
2404,"CAMEROUN","Lenara",12.881944,8.846111,50,4
2405,"CAMEROUN","Didango",12.884444,8.994722,50,10
2406,"CAMEROUN","Yandea",14.884444,7.239167,50,3
2407,"CAMEROUN","Sokorta",15.032222,7.214722,47,5
2408,"CAMEROUN","Mbang Rey",14.628333,7.175833,33,11
2409,"CAMEROUN","Touldoro",14.760833,7.405278,35,10
2410,"CAMEROUN","Djindang",14.578056,7.315278,33,8
2411,"CAMEROUN","Koudini",14.685833,7.259444,13,2
2412,"CAMEROUN","Guirviri",14.515833,7.4775,34,0
2413,"CAMEROUN","Heri",13.946111,9.9125,34,2
2414,"CAMEROUN","Gorom",13.83,10.05,37,1
2415,"CAMEROUN","Melemlem",13.97,10.15,30,0
2416,"CAMEROUN","Golombe",13.918333,9.805556,31,4
2417,"CAMEROUN","Mayo Kora",13.966944,9.800278,36,9
2418,"CAMEROUN","Matra",13.38,10.07,50,1
2419,"CAMEROUN","Gobriyam",13.33,9.78,50,1
2420,"CAMEROUN","Batoum",13.55,9.9,50,3
2421,"CAMEROUN","Medeo",14.42,7.3,50,1
2422,"CAMEROUN","Lominguel",13.75,9.9,50,3
2423,"CAMEROUN","Waimba",14.533329,8.783329,50,11
2424,"CAMEROUN","Sinassi",14.48333,8.849999,41,13
2425,"CAMEROUN","Koinderi",14.46667,8.98333,31,11
2426,"CAMEROUN","Dokerol",14.626944,9.090278,50,10
2427,"CAMEROUN","Wakla",14.538611,9.063611,31,8
2428,"CAMEROUN","Ndick",11.9,2.61,30,0
2429,"CAMEROUN","Alotome",11.67,2.67,30,0
2430,"CAMEROUN","Mebosso",11.87,2.31,35,0
2431,"CAMEROUN","Melangue",10.25,3.13,30,0
2432,"CAMEROUN","Nyazo?o N",10.938028,3.115639,35,0
2433,"CAMEROUN","Biba1",11.11,2.77,31,2
2434,"CAMEROUN","Afanengon",11.2,2.77,30,0
2435,"CAMEROUN","Adjap",11.49,2.54,30,1
2436,"CAMEROUN","Engong",10.99,2.85,35,2
2437,"CAMEROUN","Ando?o",11.1,2.88,30,2
2438,"CAMEROUN","Koungoulo",11.76,2.72,30,1
2439,"CAMEROUN","Oyem",12.06,2.6,30,0
2440,"CAMEROUN","Oyem1",12.07,2.6,30,1
2441,"CAMEROUN","Ebemewoma",11.19,3.09,30,0
2442,"CAMEROUN","Ossoefeme",11.38,3.07,30,0
2443,"CAMEROUN","Ngoazip 2",10.99,3.08,30,1
